HourOfDay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
4,0.0,32.0,0.0,33.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65.0,0.0,23.0,13.0,0.0,0.0,62.0,5.0,63.0,0.0,0.0
5,0.0,28.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,61.0,53.0,54.0,24.0,0.0,45.0,0.0,8.0,78.0,0.0,0.0
6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,14.0,25.0,28.0,13.0,0.0,54.0,0.0,8.0,25.0,0.0,0.0
7,39.0,131.0,73.0,218.0,154.0,39.0,109.0,140.0,162.0,119.0,143.0,112.0,116.0,278.0,162.0,229.0,273.0,165.0,261.0,215.0,227.0,278.0,227.0,346.0,202.0,206.0,130.0,117.0,220.0,495.0,178.0
8,457.0,467.0,371.0,273.0,280.0,366.0,481.0,560.0,291.0,275.0,379.0,276.0,360.0,626.0,445.0,757.0,553.0,1410.0,560.0,526.0,622.0,359.0,511.0,527.0,516.0,570.0,599.0,650.0,406.0,837.0,617.0
9,365.0,189.0,193.0,198.0,336.0,279.0,257.0,725.0,317.0,213.0,204.0,258.0,225.0,389.0,593.0,380.0,283.0,351.0,302.0,354.0,389.0,502.0,542.0,247.0,399.0,589.0,703.0,585.0,240.0,741.0,426.0
10,299.0,167.0,167.0,90.0,150.0,174.0,137.0,257.0,156.0,82.0,107.0,95.0,153.0,347.0,334.0,127.0,193.0,179.0,155.0,157.0,279.0,310.0,210.0,74.0,234.0,326.0,262.0,414.0,280.0,261.0,235.0
11,193.0,153.0,129.0,170.0,203.0,152.0,141.0,203.0,307.0,62.0,97.0,110.0,181.0,136.0,276.0,195.0,110.0,86.0,96.0,185.0,164.0,220.0,281.0,165.0,135.0,302.0,158.0,209.0,181.0,227.0,129.0
12,102.0,226.0,190.0,96.0,125.0,106.0,159.0,121.0,72.0,27.0,119.0,237.0,101.0,165.0,134.0,131.0,184.0,85.0,211.0,175.0,156.0,129.0,236.0,191.0,117.0,154.0,126.0,170.0,47.0,171.0,71.0
13,54.0,127.0,166.0,85.0,157.0,89.0,40.0,25.0,31.0,17.0,50.0,151.0,38.0,65.0,4.0,106.0,118.0,41.0,175.0,199.0,30.0,38.0,262.0,136.0,92.0,32.0,203.0,172.0,0.0,206.0,113.0
14,0.0,25.0,139.0,98.0,76.0,73.0,127.0,0.0,150.0,159.0,41.0,105.0,151.0,154.0,0.0,211.0,214.0,216.0,106.0,129.0,1639.0,0.0,230.0,202.0,264.0,0.0,219.0,220.0,0.0,338.0,221.0
15,0.0,163.0,281.0,209.0,276.0,173.0,192.0,0.0,214.0,543.0,259.0,236.0,448.0,315.0,0.0,464.0,333.0,401.0,643.0,274.0,487.0,0.0,381.0,386.0,444.0,0.0,589.0,376.0,0.0,645.0,392.0
16,0.0,401.0,442.0,420.0,556.0,477.0,211.0,0.0,482.0,419.0,420.0,356.0,697.0,437.0,0.0,541.0,648.0,747.0,630.0,626.0,639.0,0.0,743.0,630.0,674.0,0.0,743.0,873.0,0.0,789.0,805.0
17,0.0,389.0,489.0,644.0,471.0,424.0,496.0,0.0,500.0,498.0,553.0,545.0,785.0,659.0,0.0,822.0,892.0,782.0,752.0,826.0,665.0,0.0,851.0,807.0,1047.0,0.0,707.0,621.0,0.0,1197.0,753.0
18,0.0,324.0,219.0,348.0,461.0,420.0,343.0,0.0,347.0,437.0,299.0,315.0,589.0,528.0,0.0,619.0,614.0,599.0,558.0,452.0,481.0,0.0,437.0,579.0,591.0,0.0,602.0,509.0,0.0,712.0,602.0
19,0.0,106.0,122.0,119.0,154.0,129.0,157.0,0.0,127.0,163.0,120.0,140.0,191.0,407.0,0.0,217.0,194.0,166.0,136.0,200.0,66.0,0.0,197.0,244.0,153.0,0.0,233.0,177.0,0.0,300.0,224.0
20,0.0,113.0,12.0,9.0,15.0,40.0,15.0,0.0,21.0,54.0,16.0,7.0,21.0,7.0,0.0,1.0,23.0,33.0,22.0,136.0,22.0,0.0,10.0,52.0,10.0,0.0,6.0,25.0,0.0,40.0,26.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
